review_url,review_title,review_description,review_bloggername,review_postdate
https://blog.naver.com/charone_market/224270215743,[헤이티 메뉴 추천] 코코넛 망고 블루 CGV <b>HEYTEA 강남점</b>,· Travel Note · HEYTEY 메뉴 추천 ─ 코코넛 망고 블루 헤이티 <b>강남점</b> ─ Copyright 2026 ⓒ GADUNG All right reserved... 헤이티 <b>HEYTEA</b> 헤이티는 중국에서 시작한 티 음료 브랜드에요 차를 기본으로 해서 과일이나 우유를... ,"가둥이, 어딜가둥?",20260430
https://blog.naver.com/chufanglog/224224021348,[내돈내산] 헤이티(喜茶/<b>HEYTEA</b>) 서울 <b>강남점</b> 솔직후기,헤이티(<b>HEYTEA</b>)<b>강남점</b> 솔직 후기 2주 전 칭다오 여행에서 1일2헤이티 했던 저.. 홍대점에 이어 강남에도 생겼다는 소식에 망설임 없이 들렸는데 결론부터 말하면.. ‘이 맛이 아니야!!!!’ 였어요 위치는 강남... ,도농로그,20260320
https://blog.naver.com/qq6237/224166467515,<b>HEYTEA</b>(헤이티) <b>강남점</b> 방문 후기!/ 강남역 카페/ 신논현 카페... ,<b>heytea 강남점</b> 매장 위치 서울특별시 강남구 강남대로 438 스타플렉스 2층 210호 영업 시간 매일 11:00 ~ 22:00 웨이팅 유무 x 주차 정보 해당 건물에 주차하면 되지만 발렛비 3000원 있습니다! 오늘은 헤이티 강남점에... ,내가그린곰돌이,20260131
https://blog.naver.com/ahhk23/224234826026,"헤이티 <b>강남점</b>(<b>HEYTEA</b>)-앱 주문 추천, 주말 웨이팅 기본 30분... ","헤이티 <b>강남점</b>(<b>HEYTEA</b>)-앱 주문 추천, 주말 웨이팅 기본 30분, cgv강남 화장실 깨끗함 내돈내산 cgv강남 건물 뒤쪽에 헤이티 매장이 있다. 매장에 자리 2개라서 앉아서 먹지는 못한다고 생각하면 된다. 사람한테... ",케리케리 1234,20260330
https://blog.naver.com/lg320/223673103057,[강남역] 헤이티 <b>HEYTEA 강남점</b> 오픈 / 메뉴&amp;메뉴 추천... ,"헤이티 <b>HEYTEA 강남점</b> 포장 후기 *영업시간 : 매일 11:00-22:00 *전화문의 : 0507-1320-9020 *배달 : 가능(배달의 민족) 헤이티 강남점은 강남역 11번 출구, 신논현역 6번 출구 근처 강남CGV 건물 2층에 있어요 매장은... ",뽀순일상,20241126
https://blog.naver.com/jkim0714/223685259198,<b>HEYTEA</b> 헤이티 <b>강남점</b> 메뉴 추천 망고 레드자몽 사고,오늘은 중국 밀크티 맛집으로 유명한 헤이티 <b>heytea 강남점</b> 뭘 방문해 봤습니다. 직장에서 맛있다고 소문이 나서 전에 배달을 한 번 시켜봤는데 강남점에도 매장이 있는데 배달시키면 압구정점에서 오더라고요?... ,지현햄 일상 맛집 여행 블로그,20241207
https://blog.naver.com/dmswb9803/224261678880,강남역 카페 “<b>HEYTEA 강남점</b>”,헤이티 강남점의 경우 네이버에 헤이티 라고 검색하실 경우 안나오더라구요 ㅠㅠ 꼭 영어로 Heytea 로 치셔야합니다  매장 정보 매장명: <b>HEYTEA 강남점</b> 영업 시간: 월-일 11:00-22:00 들어갈 때부터 보이시죠?... ,옷 좋아하는 미식가,20260422
https://blog.naver.com/kej98723/224178041003,[서울] 밀크티 맛집 <b>HEYTEA</b> 헤이티! <b>강남점</b> 후기,사실은 <b>강남점</b> 방문은 2번째이다 (다른 한국 지점 안가봤듬) 일년만에 재방문한 후기라 할 수 있겠다... 더 맛있는 너낌 그래도 헤이티 생각날 때 먹으면 감동적인 맛〰️ #<b>HEYTEA</b> #<b>heytea</b>한국 #<b>heytea</b>강남 #밀크티,E_iary,20260210
https://blog.naver.com/hyo99oo99/224238714449,[강남 맛집] <b>HEYTEA 강남점</b> | 상하이에서 온 밀크티 망고사고... ,곳이에요 <b>HEYTEA 강남점</b>은 상하이에서 온 밀크티 브랜드라 궁금해서 가봤어요‼️ 강남역 근처라 접근성 좋아서 가볍게 들르기 괜찮은 강남 맛집 느낌이었어요  <b>HEYTEA 강남점</b>  서울 강남구 역삼동 814-6  별도... ,갱이의 일상로그,20260402
https://blog.naver.com/saeromsound/224187963225,"카페음향설치, <b>HEYTEA 강남점</b> - 공간의 밀도를 정리하는 카페... ",출처 : HEYTEA 네이버플레이스 출처 : HEYTEA 네이버플레이스 균형과 확산 – HEYTEA 공간에서 가장 중요한 음향 포인트 이번 <b>HEYTEA 강남점</b> 매장음향시공에서 가장 중점적으로 본 것은 ‘확산’이었습니다. 단일... ,새롬사운드의 새로운이야기,20260219
https://blog.naver.com/23rbgus/224193362700,헤이티 <b>HEYTEA 강남점</b> 로스티드 브라운 슈가 보보 밀크티... ,요즘 강남갈일이 많아서 간김에 간식 먹을거없나 보다가 발견한 헤이티! 전에 친구가 중국에서 유명한 밀크티집이라고 말햇던게 언뜻 생각나서 다녀옴 위치는 신논현역과 좀더 가까움 후기보니 매장에 차... ,첫날의 햇살,20260224
